sample,tempo para fechamento,number,creator user cargo,creator user seguidores,creator user tempo no GitHub,closed user cargo,closed user seguidores,closed user tempo no GitHub,closed_count,open_count,framework,relative_open_count,relative_closed_count
aws-samples/amazon-pinpoint-call-generator,6.0,1.0,,3.0,116.0,,17.0,1127.0,1.0,0.0,AWS,0.0,100.0
aws-samples/amazon-pinpoint-connect-callback-requestor,1.8,5.8,,1.8,1661.6,,1.4,2017.6,5.0,0.0,AWS,0.0,100.0
aws-samples/amazon-pinpoint-whatsapp-channel,,1.0,,0.0,94.0,,,,0.0,1.0,AWS,100.0,0.0
aws-samples/amazon-qldb-dmv-sample-java,175.33333333333334,9.666666666666666,,7.666666666666667,1870.0,,0.3333333333333333,331.0,3.0,0.0,AWS,0.0,100.0
aws-samples/amazon-qldb-dmv-sample-nodejs,7.333333333333333,16.333333333333332,,211.33333333333334,1537.6666666666667,,207.66666666666666,1433.0,3.0,0.0,AWS,0.0,100.0
aws-samples/amazon-qldb-dmv-sample-python,68.0,5.0,,0.0,155.0,,0.0,223.0,1.0,0.0,AWS,0.0,100.0
aws-samples/amazon-qldb-double-entry-sample-java,33.0,3.0,,0.0,273.0,,0.0,275.0,1.0,0.0,AWS,0.0,100.0
aws-samples/amazon-qldb-kvs-nodejs,14.0,4.0,,6.0,926.0,,2.0,2452.0,1.0,0.0,AWS,0.0,100.0
aws-samples/amazon-qldb-streams-dmv-sample-lambda-python,48.0,4.0,,15.0,3502.0,,1.0,362.0,1.0,0.0,AWS,0.0,100.0
aws-samples/amazon-rds-and-amazon-aurora-logging-blog,,1.5,,1.5,1488.0,,,,0.0,2.0,AWS,100.0,0.0
aws-samples/amazon-rds-auto-restart-protection,,1.0,,0.0,325.0,,,,0.0,1.0,AWS,100.0,0.0
aws-samples/amazon-rds-proxy-video-demo,,1.0,,72.0,1516.0,,,,0.0,1.0,AWS,100.0,0.0
aws-samples/amazon-rds-purpose-built-workshop,,1.0,,1.0,2582.0,,,,0.0,1.0,AWS,100.0,0.0
aws-samples/amazon-redshift-location-user-defined-functions,0.0,6.714285714285714,,14.0,3476.1428571428573,,14.0,3476.6,5.0,2.0,AWS,28.57142857142857,71.42857142857143
